,tavg,tmin,tmax,zip,date,park
Yankee Stadium2010-04-21T00:00:00,12.7,7.8,17.6,10462,2010-04-21T00:00:00,Yankee Stadium
Yankee Stadium2010-04-22T00:00:00,12.9,7.9,17.8,10462,2010-04-22T00:00:00,Yankee Stadium
Yankee Stadium2010-04-23T00:00:00,13.1,8.2,18.0,10462,2010-04-23T00:00:00,Yankee Stadium
Yankee Stadium2010-04-24T00:00:00,13.3,8.3,18.2,10462,2010-04-24T00:00:00,Yankee Stadium
Yankee Stadium2010-04-25T00:00:00,13.5,8.6,18.4,10462,2010-04-25T00:00:00,Yankee Stadium
Yankee Stadium2010-04-26T00:00:00,13.7,8.7,18.7,10462,2010-04-26T00:00:00,Yankee Stadium
Yankee Stadium2010-04-27T00:00:00,13.9,8.9,18.9,10462,2010-04-27T00:00:00,Yankee Stadium
Yankee Stadium2010-04-28T00:00:00,14.1,9.1,19.1,10462,2010-04-28T00:00:00,Yankee Stadium
Yankee Stadium2010-04-29T00:00:00,14.3,9.3,19.3,10462,2010-04-29T00:00:00,Yankee Stadium
Yankee Stadium2010-04-30T00:00:00,14.5,9.5,19.5,10462,2010-04-30T00:00:00,Yankee Stadium
Yankee Stadium2010-05-01T00:00:00,14.7,9.7,19.7,10462,2010-05-01T00:00:00,Yankee Stadium
Yankee Stadium2010-05-02T00:00:00,14.8,9.8,19.9,10462,2010-05-02T00:00:00,Yankee Stadium
Yankee Stadium2010-05-03T00:00:00,15.0,10.0,20.1,10462,2010-05-03T00:00:00,Yankee Stadium
Yankee Stadium2010-05-04T00:00:00,15.2,10.2,20.2,10462,2010-05-04T00:00:00,Yankee Stadium
Yankee Stadium2010-05-05T00:00:00,15.4,10.3,20.4,10462,2010-05-05T00:00:00,Yankee Stadium
Yankee Stadium2010-05-06T00:00:00,15.6,10.5,20.6,10462,2010-05-06T00:00:00,Yankee Stadium
Yankee Stadium2010-05-07T00:00:00,15.7,10.7,20.7,10462,2010-05-07T00:00:00,Yankee Stadium
Yankee Stadium2010-05-08T00:00:00,15.8,10.8,20.9,10462,2010-05-08T00:00:00,Yankee Stadium
Yankee Stadium2010-05-09T00:00:00,16.0,10.9,21.1,10462,2010-05-09T00:00:00,Yankee Stadium
Yankee Stadium2010-05-10T00:00:00,16.2,11.1,21.2,10462,2010-05-10T00:00:00,Yankee Stadium
Yankee Stadium2010-05-11T00:00:00,16.3,11.3,21.4,10462,2010-05-11T00:00:00,Yankee Stadium
Yankee Stadium2010-05-12T00:00:00,16.5,11.4,21.6,10462,2010-05-12T00:00:00,Yankee Stadium
Yankee Stadium2010-05-13T00:00:00,16.6,11.6,21.7,10462,2010-05-13T00:00:00,Yankee Stadium
Yankee Stadium2010-05-14T00:00:00,16.8,11.7,21.8,10462,2010-05-14T00:00:00,Yankee Stadium
Yankee Stadium2010-05-15T00:00:00,16.9,11.9,22.0,10462,2010-05-15T00:00:00,Yankee Stadium
Yankee Stadium2010-05-16T00:00:00,17.1,12.1,22.2,10462,2010-05-16T00:00:00,Yankee Stadium
Yankee Stadium2010-05-17T00:00:00,17.2,12.2,22.3,10462,2010-05-17T00:00:00,Yankee Stadium
Yankee Stadium2010-05-18T00:00:00,17.4,12.3,22.4,10462,2010-05-18T00:00:00,Yankee Stadium
Yankee Stadium2010-05-19T00:00:00,17.6,12.5,22.6,10462,2010-05-19T00:00:00,Yankee Stadium
Yankee Stadium2010-05-20T00:00:00,17.7,12.7,22.7,10462,2010-05-20T00:00:00,Yankee Stadium
Yankee Stadium2010-05-21T00:00:00,17.8,12.8,22.9,10462,2010-05-21T00:00:00,Yankee Stadium
Yankee Stadium2010-05-22T00:00:00,18.0,13.0,23.0,10462,2010-05-22T00:00:00,Yankee Stadium
Yankee Stadium2010-05-23T00:00:00,18.2,13.1,23.2,10462,2010-05-23T00:00:00,Yankee Stadium
Yankee Stadium2010-05-24T00:00:00,18.3,13.3,23.3,10462,2010-05-24T00:00:00,Yankee Stadium
Yankee Stadium2010-05-25T00:00:00,18.5,13.4,23.5,10462,2010-05-25T00:00:00,Yankee Stadium
Yankee Stadium2010-05-26T00:00:00,18.6,13.6,23.6,10462,2010-05-26T00:00:00,Yankee Stadium
Yankee Stadium2010-05-27T00:00:00,18.8,13.8,23.8,10462,2010-05-27T00:00:00,Yankee Stadium
Yankee Stadium2010-05-28T00:00:00,18.9,14.0,23.9,10462,2010-05-28T00:00:00,Yankee Stadium
Yankee Stadium2010-05-29T00:00:00,19.1,14.2,24.1,10462,2010-05-29T00:00:00,Yankee Stadium
Yankee Stadium2010-05-30T00:00:00,19.3,14.3,24.3,10462,2010-05-30T00:00:00,Yankee Stadium
Yankee Stadium2010-05-31T00:00:00,19.5,14.6,24.4,10462,2010-05-31T00:00:00,Yankee Stadium
Yankee Stadium2010-06-01T00:00:00,19.7,14.7,24.6,10462,2010-06-01T00:00:00,Yankee Stadium
Yankee Stadium2010-06-02T00:00:00,19.8,14.9,24.8,10462,2010-06-02T00:00:00,Yankee Stadium
Yankee Stadium2010-06-03T00:00:00,20.0,15.1,24.9,10462,2010-06-03T00:00:00,Yankee Stadium
Yankee Stadium2010-06-04T00:00:00,20.2,15.3,25.1,10462,2010-06-04T00:00:00,Yankee Stadium
Yankee Stadium2010-06-05T00:00:00,20.4,15.5,25.3,10462,2010-06-05T00:00:00,Yankee Stadium
Yankee Stadium2010-06-06T00:00:00,20.6,15.7,25.4,10462,2010-06-06T00:00:00,Yankee Stadium
Yankee Stadium2010-06-07T00:00:00,20.8,15.9,25.6,10462,2010-06-07T00:00:00,Yankee Stadium
